following_username,following_name,count
@PaparazziRevis,Paparazzi,1
@Paralyticss,Paralytics,1
@Paramount_LatAm,Paramount Latinoamérica,1
@PellizaCarla,Carla Pelliza,1
@Pendejis_sc,Pende,1
@PilarLopezN,Pilar López Novoa,1
@PlanetaBoca,Planeta Boca Juniors,1
@PlanetaCAT,Planeta Talleres,1
@PoleoRafael,Rafael Poleo,1
@PoliticaEnRiver,Politica en River,1
@Pontifex266Arch,Pope Francis – ARCHIVE,1
@Pontifex266_es,Papa Francisco – ARCHIVO,1
@Pontifex_es,Papa León XIV,1
@Popama2,Verito#ÑoñaRepublicana,1
@Presidencia_Ec,Presidencia Ecuador,1
@PrimeVideoLat,Prime Video LATAM,1
@PP_Rubens,Dr. Peter Paul Rubens,1
@PALavigne83,Pablo Lavigne,1
@OtraPendeja,Pendejis,1
@NicolasMayoraz,Nicolás Mayoraz,1
@Nachi15703765,Nachi,1
@Nadiaaaa77,•𝑵𝒂𝒅𝒊𝒂•,1
@NataliaVartan,Natalia Vartan,1
@NaturalMVMT,Brandon Scott,1
@NicoDujovne,Nicolas Dujovne,1
@Nico_Balus,Nico Balus,1
@Nico_sexo,Nico,1
@NituPerez,Nitu Pérez Osuna,1
@OsvaldoJaldo,Osvaldo Jaldo,1
@Notamendi30,Nicolas Otamendi,1
@Nucleoelectrica,Nucleoeléctrica Argentina,1
@OEA_DDOT,OEA - Departamento Contra Delincuencia Organizada,1
@OPRArgentina,Oficina del Presidente,1
@ObservadorUY,El Observador Uruguay,1
@OldArg1810,Argentina en la Memoria,1
